,Mutation Value,Disease Implicated,Count
2028,C->G,"Muscular dystrophy-dystroglycanopathy (congenital with brain and eye anomalies), type A, 3",1
2029,C->G,"Myopathy, actin, congenital, with excess of thin myofilaments",1
2030,C->G,"Myopathy, scapulohumeroperoneal",1
2031,C->G,"NEURODEVELOPMENTAL DISORDER, MITOCHONDRIAL, WITH ABNORMAL MOVEMENTS AND LACTIC ACIDOSIS, WITH OR WITHOUT SEIZURES",1
2032,C->G,Navajo neurohepatopathy,1
2033,C->G,Nemaline myopathy 2,1
2034,C->G,Nemaline myopathy 3,1
2035,C->G,Nonsyndromic cleft lip with or without cleft palate,1
2036,C->G,Noonan syndrome,1
2037,C->G,"Noonan syndrome 8, not provided",1
2038,C->G,"Noonan syndrome, Noonan syndrome 4, Rasopathy, not provided",1
2039,C->G,"Noonan syndrome, Noonan syndrome 8, not provided",2
2040,C->G,"Noonan syndrome, Rasopathy, not provided",1
2041,C->G,"Noonan syndrome-like disorder with loose anagen hair 2, not provided",1
2042,C->G,"Osteodysplastic primordial dwarfism, type 1",1
2043,C->G,Osteogenesis imperfecta type 7,1
2044,C->G,POLYCYSTIC KIDNEY DISEASE 5,1
2045,C->G,POLYMICROGYRIA WITHOUT VASCULAR-TYPE EHLERS-DANLOS SYNDROME,1
2046,C->G,Paget disease of bone 6,1
2047,C->G,Paraganglioma and gastric stromal sarcoma,1
2048,C->G,Parathyroid carcinoma,1
2049,C->G,Parkinson disease 9,1
2050,C->G,Perry syndrome,1
2051,C->G,Pituitary dependent hypercortisolism,1
2052,C->G,"Pituitary hormone deficiency, combined 1",1
2053,C->G,"Pituitary hormone deficiency, combined 5",1
2054,C->G,Platelet-type bleeding disorder 8,1
2055,C->G,"Pontocerebellar hypoplasia, type 9",1
2056,C->G,Premature ovarian failure 9,1
2057,C->G,Primary autosomal recessive microcephaly 5,2
2058,C->G,"Primary dilated cardiomyopathy, Dilated cardiomyopathy 1A, not provided",1
2059,C->G,"Primary dilated cardiomyopathy, Dilated cardiomyopathy 1E",1
2060,C->G,Primary erythromelalgia,1
2061,C->G,"Primary familial hypertrophic cardiomyopathy, not provided",1
2062,C->G,"Primary hyperoxaluria, type I",4
2063,C->G,Primary open angle glaucoma juvenile onset 1,1
2064,C->G,Primary pulmonary hypertension,10
2065,C->G,Primrose syndrome,1
2066,C->G,Progressive myositis ossificans,2
2067,C->G,"Pseudohypoaldosteronism, type 2",1
2068,C->G,Pseudoxanthoma elasticum-like disorder with multiple coagulation factor deficiency,1
2069,C->G,"Pustular psoriasis, generalized",1
2070,C->G,"Recessive dystrophic epidermolysis bullosa, Nail disorder, nonsyndromic congenital, 8",1
2071,C->G,Reduced antithrombin III activity,3
2072,C->G,Retinitis pigmentosa 39,1
2073,C->G,Retinitis pigmentosa 4,3
2074,C->G,Retinitis pigmentosa 76,1
2075,C->G,Robinow syndrome,2
2076,C->G,Rolandic epilepsy,1
2077,C->G,Salt and pepper developmental regression syndrome,1
2078,C->G,Schnyder crystalline corneal dystrophy,1
2079,C->G,SeSAME syndrome,2
2080,C->G,Severe congenital neutropenia,1
2081,C->G,"Severe congenital neutropenia 3, autosomal recessive",1
2082,C->G,Severe myoclonic epilepsy in infancy,11
2083,C->G,"Severe myoclonic epilepsy in infancy, not provided",2
2084,C->G,"Short-rib thoracic dysplasia 1 with or without polydactyly, Short-rib thoracic dysplasia 15 with polydactyly",1
2085,C->G,Shprintzen-Goldberg syndrome,1
2086,C->G,Sitosterolemia,2
2087,C->G,"Spastic paraplegia 4, autosomal dominant",2
2088,C->G,"Spastic paraplegia 4, autosomal dominant, not provided",2
2089,C->G,"Spastic paraplegia 44, autosomal recessive",1
2090,C->G,Stargardt disease 1,3
2091,C->G,"Subacute neuronopathic Gaucher's disease, Gaucher's disease, type 1",1
2092,C->G,Synpolydactyly 1,1
2093,C->G,Temple-Baraitser syndrome,1
2094,C->G,Thoracic aortic aneurysm and aortic dissection,1
2095,C->G,Thrombophilia due to activated protein C resistance,1
2096,C->G,"Thrombophilia due to protein S deficiency, autosomal recessive",1
2097,C->G,"Thrombophilia, hereditary, due to protein C deficiency, autosomal recessive",1
2098,C->G,"Thyroid hormone resistance, generalized",1
2099,C->G,"Thyroid hormone resistance, generalized, autosomal dominant",2
2100,C->G,Tietz syndrome,1
2101,C->G,Triglyceride storage disease with ichthyosis,1
2102,C->G,"Type D brachydactyly, Brachydactyly type E1",1
2103,C->G,"Usher syndrome, type 2A, Retinitis pigmentosa 39",1
2104,C->G,"Usher syndrome, type 2A, not provided",1
2105,C->G,"Variegate porphyria, homozygous",1
2106,C->G,"Ventricular tachycardia, catecholaminergic polymorphic, 2",1
2107,C->G,Visceral myopathy,1
2108,C->G,"Vitamin k-dependent clotting factors, combined deficiency of, 1",2
2109,C->G,Von Hippel-Lindau syndrome,2
2110,C->G,"Von Hippel-Lindau syndrome, Erythrocytosis, familial, 2",2
2111,C->G,"Von Hippel-Lindau syndrome, Hereditary cancer-predisposing syndrome",2
2112,C->G,"Von Hippel-Lindau syndrome, not provided",1
2113,C->G,Waardenburg syndrome,1
2114,C->G,Waardenburg syndrome type 1,1
2115,C->G,Warburg micro syndrome 1,1
2116,C->G,"Xeroderma pigmentosum, Xeroderma pigmentosum, group C",1
2117,C->G,"Xeroderma pigmentosum, group C",1
2118,C->G,Zimmermann-Laband syndrome 1,1
2119,C->G,"not provided, Miyoshi muscular dystrophy 1, Dysferlinopathy, not provided",1
2121,C->T,3 beta-Hydroxysteroid dehydrogenase deficiency,2
2122,C->T,3-Oxo-5 alpha-steroid delta 4-dehydrogenase deficiency,6
2123,C->T,"Abnormality of the dentition, Microcephaly, Abnormality of dental enamel, Hyperpigmentation of the skin, Failure to thrive, Alopecia of scalp, Distal muscle weakness, EMG abnormality, Short stature, Decreased body weight, Scarring alopecia of scalp, Abnormal blistering of the skin, Nail dystrophy, Scarring, Charcot-Marie-Tooth disease, type 2, Hereditary motor and sensory neuropathy with optic atrophy, Charcot-Marie-Tooth disease, type 2A2A, not provided",1
2124,C->T,"Abnormality of vision, Abnormal electroretinogram, Retinal degeneration, Congenital blindness",1
2125,C->T,Achromatopsia 2,2
2126,C->T,Achromatopsia 4,1
2127,C->T,Achromatopsia 7,1
2128,C->T,"Achromatopsia, Achromatopsia 2",1
2129,C->T,"Achromatopsia, not provided",1
2130,C->T,Acute myeloid leukemia with maturation,1
2131,C->T,"Acute myeloid leukemia, Multiple myeloma, Cutaneous melanoma, Non-small cell lung cancer, Neoplasm of the large intestine, Malignant melanoma of skin, Myelodysplastic syndrome, Malignant neoplasm of body of uterus, Adenocarcinoma of stomach, Rasopathy, not provided",1
2132,C->T,"Acute myeloid leukemia, Multiple myeloma, Epidermal nevus, Cutaneous melanoma, Juvenile myelomonocytic leukemia, Non-small cell lung cancer, Neoplasm of the large intestine, Malignant melanoma of skin, Myelodysplastic syndrome, Malignant neoplasm of body of uterus, Adenocarcinoma of stomach, not provided",1
2133,C->T,"Acyl-CoA dehydrogenase family, member 9, deficiency of",2
2134,C->T,Adams-Oliver syndrome 1,2
2135,C->T,Adams-Oliver syndrome 4,3
2136,C->T,"Adenosine triphosphate, elevated, of erythrocytes",1
2137,C->T,Adolescent alopeciam dentogingival abnormalitites and intellectual disability,1
2138,C->T,Adrenocorticotropic hormone deficiency,3
2139,C->T,Adult junctional epidermolysis bullosa,3
2140,C->T,Aicardi-Goutieres syndrome 7,3
2141,C->T,"Alacrima, achalasia, and mental retardation syndrome",1
2142,C->T,Alagille syndrome 2,2
2143,C->T,Alkaptonuria,3
2144,C->T,"Alport syndrome 3, autosomal dominant",1
2145,C->T,"Alport syndrome 3, autosomal dominant, Alport syndrome, autosomal recessive",1
2146,C->T,"Alport syndrome, autosomal recessive",2
2147,C->T,"Alport syndrome, autosomal recessive, not provided",1
2148,C->T,Alstrom syndrome,10
2149,C->T,"Alstrom syndrome, not provided",2
2150,C->T,"Alzheimer disease, type 4, not provided",2
2151,C->T,"Amelogenesis imperfecta, type IA",1
2152,C->T,"Amelogenesis imperfecta, type IH",1
2153,C->T,Aminoacylase 1 deficiency,1
2154,C->T,"Amyotrophic lateral sclerosis 19, not provided",1
2155,C->T,Amyotrophic lateral sclerosis 22 with or without frontotemporal dementia,3
2156,C->T,"Anemia, sideroblastic, pyridoxine-refractory, autosomal recessive, not provided",1
2157,C->T,Aplastic anemia,3
2158,C->T,"Arrhythmogenic right ventricular cardiomyopathy, Arrhythmogenic right ventricular cardiomyopathy, type 5, Arrhythmogenic right ventricular dysplasia/cardiomyopathy, Cardiovascular phenotype, not provided",1
2159,C->T,Arrhythmogenic right ventricular dysplasia/cardiomyopathy,1
2160,C->T,"Arthrogryposis, mental retardation, and seizures",1
2161,C->T,Asphyxiating thoracic dystrophy 2,1
2162,C->T,"Asplenia, isolated congenital",4
2163,C->T,Atelosteogenesis type 1,1
2164,C->T,Atelosteogenesis type 3,1
2165,C->T,"Atrial fibrillation, familial, 11",1
2166,C->T,Atrial standstill 2,1
2167,C->T,Atypical hemolytic-uremic syndrome 1,1
2168,C->T,"Autoimmune interstitial lung, joint, and kidney disease",2
2169,C->T,"Autoimmune lymphoproliferatiVe syndrome, type V",1
2170,C->T,"Autoimmune lymphoproliferative syndrome, type 2A",1
2171,C->T,"Autoimmune lymphoproliferative syndrome, type III",1
2172,C->T,Autosomal recessive centronuclear myopathy,3
2173,C->T,Autosomal recessive congenital ichthyosis 4A,4
2174,C->T,Autosomal recessive congenital ichthyosis 4B,1
2175,C->T,Autosomal recessive hypohidrotic ectodermal dysplasia syndrome,3
2176,C->T,Bardet-Biedl syndrome,1
2177,C->T,Bardet-Biedl syndrome 3,2
2178,C->T,Bartter syndrome type 3,1
2179,C->T,"Bartter syndrome type 3, not provided",1
2180,C->T,Bartter syndrome type 4,1
2181,C->T,"Bartter syndrome, type 4b",1
2182,C->T,Basal laminar drusen,1
2183,C->T,"Bche, h variant",1
2184,C->T,Benign familial hematuria,1
2185,C->T,Benign familial neonatal-infantile seizures,2
2186,C->T,"Benign familial neonatal-infantile seizures, Early infantile epileptic encephalopathy 11",2
2187,C->T,"Benign familial neonatal-infantile seizures, Early infantile epileptic encephalopathy 11, not provided",1
2188,C->T,"Benign recurrent intrahepatic cholestasis 2, not provided",3
2189,C->T,"Benign scapuloperoneal muscular dystrophy with cardiomyopathy, Congenital muscular dystrophy, LMNA-related, not provided",1
2190,C->T,"Benign scapuloperoneal muscular dystrophy with cardiomyopathy, Emery-Dreifuss muscular dystrophy 3, autosomal recessive, not provided",1
2191,C->T,"Benign scapuloperoneal muscular dystrophy with cardiomyopathy, not provided",1
2192,C->T,Beta-hydroxyisobutyryl-CoA deacylase deficiency,2
2193,C->T,Bethlem myopathy 1,1
2194,C->T,"Bethlem myopathy 1, Ullrich congenital muscular dystrophy 1, not provided",3
2195,C->T,"Bethlem myopathy 1, not provided",2
2196,C->T,Biotinidase deficiency,11
2197,C->T,"Biotinidase deficiency, not provided",2
2198,C->T,"Blepharitis, Eczema, Recurrent skin infections, Recurrent infections, Recurrent Staphylococcus aureus infections, Chronic mucocutaneous candidiasis, Recurrent fungal infections, Recurrent candida infections, Recurrent bacterial skin infections, Chronic oral candidiasis, Onychomycosis, Immunodeficiency 31C",1
2199,C->T,"Blepharophimosis, ptosis, and epicanthus inversus",2
2200,C->T,"Blepharophimosis, ptosis, and epicanthus inversus syndrome type 2",1
2201,C->T,"Blepharophimosis, ptosis, and epicanthus inversus, Premature ovarian failure 3",1
2202,C->T,"Brainstem glioma, Inborn genetic diseases, Progressive myositis ossificans",1
2203,C->T,Bruck syndrome 2,1
2204,C->T,Brugada syndrome,8
2205,C->T,Brugada syndrome 1,2
2206,C->T,"Brugada syndrome, Brugada syndrome 1",2
2207,C->T,"Brugada syndrome, Dilated cardiomyopathy 1E, Long QT syndrome 3, Atrial fibrillation, familial, 10, Atrial standstill 1, digenic, Cardiovascular phenotype, not provided",1
2208,C->T,"Brugada syndrome, not provided",3
2209,C->T,C syndrome,1
2210,C->T,C1q deficiency,2
2211,C->T,"CONGENITAL ANOMALIES OF KIDNEY AND URINARY TRACT SYNDROME WITH OR WITHOUT HEARING LOSS, ABNORMAL EARS, OR DEVELOPMENTAL DELAY",1
2212,C->T,"CORTICAL DYSPLASIA, COMPLEX, WITH OTHER BRAIN MALFORMATIONS 9",3
2213,C->T,"CROMER BLOOD GROUP SYSTEM, Dr(a-) PHENOTYPE",1
2214,C->T,"CUTIS LAXA, AUTOSOMAL RECESSIVE, TYPE IID",1
2215,C->T,"Candidiasis, familial, 9",2
2216,C->T,"Cardiac conduction defect, nonspecific, Brugada syndrome, Sick sinus syndrome 1, autosomal recessive, Brugada syndrome 1, not provided",1
2217,C->T,"Cardiomyopathy, dilated, 1NN",1
2218,C->T,Cardiovascular phenotype,3
2219,C->T,Carnitine acylcarnitine translocase deficiency,1
2220,C->T,"Carnitine palmitoyltransferase II deficiency, Carnitine palmitoyltransferase II deficiency, myopathic, stress-induced, Carnitine palmitoyltransferase II deficiency, infantile",1
2221,C->T,Caspase-8 deficiency,1
2222,C->T,Cataract 1,3
2223,C->T,"Cataract 12, multiple types, not provided",1
2224,C->T,Cataract 4,2
2225,C->T,"Cataract 6, multiple types, not provided",1
2226,C->T,"Cataract, Peripheral neuropathy, Cataracts, growth hormone deficiency, sensory neuropathy, sensorineural hearing loss, and skeletal dysplasia, growth hormone deficiency with short stature, partial sensorineural deafness",1
2227,C->T,"Cataract, autosomal recessive congenital 2",1
2228,C->T,"Cataract, coppock-like",1
2229,C->T,"Cataract, coppock-like, not provided",1
2230,C->T,Catecholaminergic polymorphic ventricular tachycardia type 1,1
2231,C->T,"Catecholaminergic polymorphic ventricular tachycardia, Catecholaminergic polymorphic ventricular tachycardia type 1, not provided",1
2232,C->T,"Cd8 deficiency, familial",1
2233,C->T,Central centrifugal cicatricial alopecia,2
2234,C->T,Ceroid lipofuscinosis neuronal 1,1
2235,C->T,"Charcot-Marie-Tooth disease, Charcot-Marie-Tooth disease, type 2, Charcot-Marie-Tooth disease type 2B1, not provided",1
2236,C->T,"Charcot-Marie-Tooth disease, Charcot-Marie-Tooth disease, type 2, Hereditary motor and sensory neuropathy with optic atrophy, Charcot-Marie-Tooth disease, type 2A2A, Charcot-Marie-Tooth disease, axonal, autosomal recessive, type 2A2B, not provided",1
2237,C->T,"Charcot-Marie-Tooth disease, Hutchinson-Gilford syndrome, Mandibuloacral dysostosis, not provided",1
2238,C->T,"Charcot-Marie-Tooth disease, axonal, type 2T",1
2239,C->T,"Charcot-Marie-Tooth disease, axonal, type 2b, not provided",1
2240,C->T,"Charcot-Marie-Tooth disease, demyelinating, type 1b",4
2241,C->T,"Charcot-Marie-Tooth disease, demyelinating, type 1b, Charcot-Marie-Tooth disease, type I",2
2242,C->T,"Charcot-Marie-Tooth disease, dominant intermediate C",2
2243,C->T,"Charcot-Marie-Tooth disease, not provided",1
2244,C->T,"Charcot-Marie-Tooth disease, type 2",7
2245,C->T,"Charcot-Marie-Tooth disease, type 2, Cardiovascular phenotype, not provided",1
2246,C->T,"Charcot-Marie-Tooth disease, type 2, Dilated cardiomyopathy 1S, Cardiovascular phenotype, not provided",1
2247,C->T,"Charcot-Marie-Tooth disease, type 2, Hereditary motor and sensory neuropathy with optic atrophy, Charcot-Marie-Tooth disease, type 2A2A, not provided",1
2248,C->T,"Charcot-Marie-Tooth disease, type 2, not provided",3
2249,C->T,"Charcot-Marie-Tooth disease, type 2A2A",1
2250,C->T,"Charcot-Marie-Tooth disease, type I",2
2251,C->T,Cholestanol storage disease,2
2252,C->T,"Cholestanol storage disease, not provided",2
2253,C->T,Chondrodysplasia Blomstrand type,2
2254,C->T,Chromosome 2q32-q33 deletion syndrome,1
2255,C->T,"Chromosome 2q32-q33 deletion syndrome, not provided",1
2256,C->T,"Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2",1
2257,C->T,"Chronic granulomatous disease, autosomal recessive cytochrome b-positive, type 2, not provided",1
2258,C->T,Chudley-McCullough syndrome,1
2259,C->T,"Chudley-McCullough syndrome, Autosomal recessive non-syndromic sensorineural deafness type DFNB",1
2260,C->T,"Chudley-McCullough syndrome, not provided",1
2261,C->T,Chédiak-Higashi syndrome,3
2262,C->T,"Chédiak-Higashi syndrome, Chediak-Higashi syndrome, adult type",1
2263,C->T,"Coenzyme Q10 deficiency, primary, 4",1
2264,C->T,"Coenzyme Q10 deficiency, primary, 4, not provided",1
2265,C->T,Colorectal cancer with chromosomal instability,1
2266,C->T,"Combined immunodeficiency, Autoimmune disease, multisystem, infantile-onset, 2",1
2267,C->T,Combined oxidative phosphorylation deficiency 1,2
2268,C->T,Combined oxidative phosphorylation deficiency 13,2
2269,C->T,Combined oxidative phosphorylation deficiency 21,1
2270,C->T,Combined oxidative phosphorylation deficiency 25,2
2271,C->T,Combined oxidative phosphorylation deficiency 28,2
2272,C->T,Cone-rod dystrophy 3,1
2273,C->T,Cone-rod dystrophy amelogenesis imperfecta,3
2274,C->T,Congenital amegakaryocytic thrombocytopenia,4
2275,C->T,"Congenital anomalies of kidney and urinary tract 1, susceptibility to",2
2276,C->T,Congenital cataract,1
2277,C->T,Congenital disorder of deglycosylation,2
2278,C->T,Congenital disorder of glycosylation type 1C,1
2279,C->T,Congenital disorder of glycosylation type 1N,2
2280,C->T,Congenital disorder of glycosylation type 1t,1
2281,C->T,"Congenital disorder of glycosylation type 1t, not provided",1
2282,C->T,"Congenital disorder of glycosylation type Ir, not provided",1
2283,C->T,Congenital ectodermal dysplasia of face,2
2284,C->T,Congenital hemolytic anemia,1
2285,C->T,"Congenital hyperammonemia, type I",5
2286,C->T,"Congenital long QT syndrome, Brugada syndrome, Long QT syndrome 3, Cardiovascular phenotype, not provided",1
2287,C->T,"Congenital long QT syndrome, Long QT syndrome 3, Long qt syndrome 3/6, digenic",1
2288,C->T,"Congenital long QT syndrome, not provided",2
2289,C->T,"Congenital muscular dystrophy, LMNA-related, not provided",1
2290,C->T,"Congenital muscular dystrophy-dystroglycanopathy with brain and eye anomalies, type A3",2
2291,C->T,"Congenital myasthenic syndrome 1B, fast-channel",1
2292,C->T,"Congenital myasthenic syndrome, Myasthenic syndrome, congenital, 8",1
2293,C->T,Congenital myopathy with fiber type disproportion,2
2294,C->T,"Congenital myopathy with fiber type disproportion, Nemaline myopathy 1, Cap myopathy 1, not provided",1
2295,C->T,"Congenital myopathy with fiber type disproportion, Nemaline myopathy 3",1
2296,C->T,"Congenital myopathy with fiber type disproportion, not provided",1
2297,C->T,"Congenital stationary night blindness, autosomal dominant 1",2
2298,C->T,Cortisone reductase deficiency 2,1
2299,C->T,Cranioectodermal dysplasia 1,2
2300,C->T,"Craniosynostosis 6, not provided",1
2301,C->T,"Crigler Najjar syndrome, type 1",3
2302,C->T,"Crigler-Najjar syndrome, not provided",1
2303,C->T,"Crigler-Najjar syndrome, type II, not provided",1
2304,C->T,"Cryopyrin associated periodic syndrome, Familial cold urticaria, not provided",1
2305,C->T,Cystinuria,1
2306,C->T,D-2-hydroxyglutaric aciduria 1,1
2307,C->T,DFNA 2 Nonsyndromic Hearing Loss,3
2308,C->T,"DUFFY BLOOD GROUP SYSTEM, FY(bwk) PHENOTYPE",1
2309,C->T,"DYSF- Related Disorder, Miyoshi muscular dystrophy 1, not provided",1
2310,C->T,Deafness,1
2311,C->T,"Deafness, autosomal dominant 70",1
2312,C->T,"Deafness, autosomal recessive 32",3
2313,C->T,"Deafness, autosomal recessive 42",1
2314,C->T,"Deafness, autosomal recessive 59",2
2315,C->T,"Deafness, autosomal recessive 59, Nonsyndromic hearing loss and deafness",1
2316,C->T,"Deafness, autosomal recessive 6",3
2317,C->T,"Deafness, autosomal recessive 9",12
2318,C->T,Deficiency of ferroxidase,10
2319,C->T,"Deficiency of ferroxidase, Hemosiderosis, systemic, due to aceruloplasminemia",1
2320,C->T,"Deficiency of ferroxidase, Hypoceruloplasminemia, not provided",1
2321,C->T,Deficiency of hyaluronoglucosaminidase,1
2322,C->T,Deficiency of hydroxymethylglutaryl-CoA lyase,1
2323,C->T,"Deficiency of hydroxymethylglutaryl-CoA lyase, not provided",1
2324,C->T,Deficiency of iodide peroxidase,2
2325,C->T,Deficiency of ribose-5-phosphate isomerase,1
2326,C->T,Desmosterolosis,2
2327,C->T,Diabetes mellitus type 2,1
2328,C->T,Diamond-Blackfan anemia,2
2329,C->T,Diamond-Blackfan anemia 6,1
2330,C->T,"Diamond-Blackfan anemia 6, not provided",1
2331,C->T,"Diamond-Blackfan anemia, Diamond-Blackfan anemia 7",1
2332,C->T,"Diarrhea 5, with tufting enteropathy, congenital",1
2333,C->T,Dilated cardiomyopathy 1A,1
2334,C->T,Dilated cardiomyopathy 1G,1
2335,C->T,Dilated cardiomyopathy 1LL,1
2336,C->T,Distal arthrogryposis type 5D,3
2337,C->T,"Distal arthrogryposis type 5D, not provided",1
2338,C->T,"Distal hereditary motor neuronopathy type 7B, Amyotrophic lateral sclerosis type 1, Perry syndrome",1
2339,C->T,Donnai Barrow syndrome,4
2340,C->T,Dowling-degos disease 4,2
2341,C->T,Duane syndrome type 2,2
2342,C->T,Dyschromatosis universalis hereditaria 3,1
2343,C->T,Dysferlinopathy,2
2344,C->T,Dyskeratosis congenita autosomal dominant,1
2345,C->T,"Dyskinesia, familial, with facial myokymia",1
2346,C->T,"Dyskinesia, familial, with facial myokymia, not provided",2
2347,C->T,"ENCEPHALOPATHY, PROGRESSIVE, EARLY-ONSET, WITH BRAIN ATROPHY AND SPASTICITY, Progressive childhood encephalopathy",1
2348,C->T,"EPILEPSY, FAMILIAL FOCAL, WITH VARIABLE FOCI 4",2
2349,C->T,EXTRAORAL HALITOSIS DUE TO METHANETHIOL OXIDASE DEFICIENCY,1
2350,C->T,Early infantile epileptic encephalopathy,5
2351,C->T,Early infantile epileptic encephalopathy 11,1
2352,C->T,"Early infantile epileptic encephalopathy 11, not provided",1
2353,C->T,Early infantile epileptic encephalopathy 18,2
2354,C->T,Ectodermal dysplasia,1
2355,C->T,Ectodermal dysplasia skin fragility syndrome,1
2356,C->T,Ectodermal dysplasia-syndactyly syndrome 1,2
2357,C->T,"Ectopia lentis, isolated autosomal recessive",1
2358,C->T,"Ehlers-Danlos syndrome, hydroxylysine-deficient",2
2359,C->T,"Ehlers-Danlos syndrome, hydroxylysine-deficient, not provided",1
2360,C->T,"Ehlers-Danlos syndrome, progeroid type, 2",1
2361,C->T,"Ehlers-Danlos syndrome, type 4",5
2362,C->T,"Ehlers-Danlos syndrome, type 4, Cardiovascular phenotype",2
2363,C->T,"Ehlers-Danlos syndrome, type 4, not provided",2
2364,C->T,Eichsfeld type congenital muscular dystrophy,2
2365,C->T,"Eichsfeld type congenital muscular dystrophy, not provided",1
2366,C->T,Eiken skeletal dysplasia,1
2367,C->T,"Elevated serum creatine phosphokinase, not provided",1
2368,C->T,Elliptocytosis 2,1
2369,C->T,Encephalopathy due to defective mitochondrial and peroxisomal fission 2,1
2370,C->T,"Encephalopathy, acute, infection-induced, 3, suceptibility to",2
2371,C->T,"Encephalopathy, progressive, early-onset, with brain edema and/or leukoencephalopathy",1
2372,C->T,"Endometrial carcinoma, Hereditary nonpolyposis colon cancer, Hereditary cancer-predisposing syndrome, Lynch syndrome, Hereditary nonpolyposis colorectal cancer type 5, not provided",1
2373,C->T,Endplate acetylcholinesterase deficiency,1
2374,C->T,"Epidermolysis bullosa pruriginosa, autosomal dominant",1
2375,C->T,"Epilepsy, idiopathic generalized, susceptibility to, 12, GLUT1 deficiency syndrome 1, not provided",1
2376,C->T,Epileptic encephalopathy,1
2377,C->T,"Epileptic encephalopathy, early infantile, 44",2
2378,C->T,"Epileptic encephalopathy, early infantile, 50",1
2379,C->T,"Episodic pain syndrome, familial, 2",1
2380,C->T,"Erythrocytosis, familial, 3",1
2381,C->T,Exercise-induced hyperinsulinemic hypoglycemia,1
2382,C->T,"Exfoliative ichthyosis, autosomal recessive, ichthyosis bullosa of siemens-like",2
2383,C->T,"Exudative vitreoretinopathy 1, EXUDATIVE VITREORETINOPATHY 7",1
2384,C->T,"Factor H deficiency, Age-related macular degeneration 4, Atypical hemolytic-uremic syndrome 1",1
2385,C->T,"Factor v and factor viii, combined deficiency of, 2",2
2386,C->T,"Failure to thrive, Failure to thrive in infancy, Diarrhea, Chronic diarrhea, Impaired feeding ability, DIARRHEA 9",1
2387,C->T,Familial acne inversa 1,2
2388,C->T,"Familial amyloid nephropathy with urticaria AND deafness, Cryopyrin associated periodic syndrome, Familial cold urticaria, not provided",1
2389,C->T,"Familial amyloid nephropathy with urticaria AND deafness, Familial cold urticaria",1
2390,C->T,"Familial amyloid nephropathy with urticaria AND deafness, Familial cold urticaria, not provided",1
2391,C->T,Familial benign pemphigus,1
2392,C->T,"Familial cancer of breast, Hereditary cancer-predisposing syndrome",1
2393,C->T,Familial dilated cardiomyopathy,1
2394,C->T,Familial hemiplegic migraine type 2,1
2395,C->T,Familial hypercholesterolemia,4
2396,C->T,Familial hypertrophic cardiomyopathy 13,1
2397,C->T,"Familial partial lipodystrophy 2, not provided",1
2398,C->T,Familial partial lipodystrophy 3,2
2399,C->T,Familial porphyria cutanea tarda,1
2400,C->T,"Fanconi anemia, complementation group D2",2
2401,C->T,"Fanconi anemia, complementation group T",1
2402,C->T,Fanconi-Bickel syndrome,1
2403,C->T,Feingold syndrome 1,1
2404,C->T,Fitzsimmons-Guilbert syndrome,1
2405,C->T,Fleck corneal dystrophy,1
2406,C->T,Fontaine progeroid syndrome,1
2407,C->T,Forebrain defects,1
2408,C->T,"Frontotemporal Dementia, Chromosome 3-Linked, not provided",2
2409,C->T,Fucosidosis,2
2410,C->T,"Fucosidosis, not provided",1
2411,C->T,Fuhrmann syndrome,1
2412,C->T,Fumarase deficiency,3
2413,C->T,"Fumarase deficiency, not provided",1
2414,C->T,GLUT1 deficiency syndrome 1,1
2415,C->T,"GLUT1 deficiency syndrome 1, autosomal recessive",1
2416,C->T,"GLUT1 deficiency syndrome 1, autosomal recessive, GLUT1 deficiency syndrome 1, not provided",1
2417,C->T,"GLUT1 deficiency syndrome 2, GLUT1 deficiency syndrome 1, autosomal recessive, Epilepsy, idiopathic generalized, susceptibility to, 12, GLUT1 deficiency syndrome 1, not provided",1
2418,C->T,"GLUT1 deficiency syndrome 2, GLUT1 deficiency syndrome 1, not provided",1
2419,C->T,"GM1 gangliosidosis, Mucopolysaccharidosis, MPS-IV-B, Infantile GM1 gangliosidosis, GM1 gangliosidosis type 2, Gangliosidosis GM1 type 3",2
2420,C->T,Gangliosidosis GM1 type 3,1
2421,C->T,"Gastrointestinal stroma tumor, Hereditary cancer-predisposing syndrome, Hereditary Paraganglioma-Pheochromocytoma Syndromes, Paragangliomas 3, not provided",2
2422,C->T,Gaucher disease,1
2423,C->T,"Gaucher disease, Acute neuronopathic Gaucher's disease, Gaucher's disease, type 1",1
2424,C->T,"Gaucher disease, Gaucher disease, perinatal lethal, Gaucher's disease, type 1",1
2425,C->T,"Gaucher disease, Gaucher disease, perinatal lethal, Gaucher's disease, type 1, not provided",1
2426,C->T,"Gaucher disease, Gaucher's disease, type 1",1
2427,C->T,"Gaucher disease, Gaucher's disease, type 1, not provided",1
2428,C->T,"Gaucher disease, Subacute neuronopathic Gaucher's disease, Gaucher's disease, type 1, not provided",1
2429,C->T,"Gaucher's disease, type 1",3
2430,C->T,Generalized dominant dystrophic epidermolysis bullosa,3
2431,C->T,"Generalized dominant dystrophic epidermolysis bullosa, not provided",3
2432,C->T,"Generalized epilepsy with febrile seizures plus, type 2, Severe myoclonic epilepsy in infancy, not provided",2
2433,C->T,"Generalized epilepsy with febrile seizures plus, type 2, not provided",2
